Dish Name,Price,Url_of_the_food_Item
Spinach And Corn Tortilla Wrap,₹149,https://www.freshmenu.com/fusion_peri_peri_grilled_paneer_tortilla_wrap/product/14889
Spinach And Mushroom Tortilla Wrap,₹149,https://www.freshmenu.com/fusion_paneer_jalapeno_tikka_tortilla_wrap/product/14887
Kothu Chicken Tortilla Wrap,₹149,https://www.freshmenu.com/fusion_spinach_and_corn_tortilla_wrap/product/14885
Pulled Peri Peri Chicken Tortilla Wrap,₹149,https://www.freshmenu.com/fusion_spinach_and_mushroom_tortilla_wrap/product/14883
Grilled Tikka Tortilla Wrap,₹149,https://www.freshmenu.com/fusion_kothu_chicken_tortilla_wrap/product/14881
Chicken Popcorn Tortilla Wrap,₹149,https://www.freshmenu.com/fusion_pulled_peri_peri_chicken_tortilla_wrap/product/14878
Mediterranean Cottage Cheese Focaccia,₹149,https://www.freshmenu.com/fusion_grilled_tikka_tortilla_wrap/product/14877
BBQ Chicken Focaccia,₹149,https://www.freshmenu.com/fusion_chicken_popcorn_tortilla_wrap/product/14875
Cheesy Grilled Shawarma Focaccia,₹149,https://www.freshmenu.com/continental_mediterranean_cottage_cheese_focaccia/product/13201
Grilled Mediterranean Veg Focaccia,₹149,https://www.freshmenu.com/italian_bbq_chicken_focaccia/product/13324
Peri-Peri Chicken Sandwich,₹149,https://www.freshmenu.com/continental_cheesy_grilled_shawarma_focaccia/product/13325
Chicken Katsu Sandwich,₹149,https://www.freshmenu.com/continental_grilled_mediterranean_veg_focaccia/product/13202
Turkish Kebab Sandwich,₹149,https://www.freshmenu.com/continental_peri_peri_chicken_sandwich/product/14385
Bbq Grill Paneer Sandwich,₹149,https://www.freshmenu.com/continental_chicken_katsu_sandwich/product/14382
Spinach Corn Whole Wheat Sandwich,₹149,https://www.freshmenu.com/continental_turkish_kebab_sandwich/product/14380
Fresh Slaw Whole Wheat Sandwich,₹119,https://www.freshmenu.com/continental_bbq_grill_paneer_sandwich/product/14378
Paneer Popeye Sandwich,₹89,https://www.freshmenu.com/continental_spinach_corn_whole_wheat_sandwich/product/12139
Chicken Tikka Whole Wheat Sandwich,₹119,https://www.freshmenu.com/indian_fresh_slaw_whole_wheat_sandwich/product/12148
Omelette Cheese Whole Wheat Sandwich,₹129,https://www.freshmenu.com/continental_paneer_popeye_sandwich/product/12932
Cheese Chutney Whole Wheat Sandwich,₹119,https://www.freshmenu.com/continental_chicken_tikka_whole_wheat_sandwich/product/12143
Grilled Pesto Chicken Sandwich,₹99,https://www.freshmenu.com/continental_omelette_cheese_whole_wheat_sandwich/product/12142
Cheesy Corn Mushroom Sandwich,₹99,https://www.freshmenu.com/fusion_cheese_chutney_whole_wheat_sandwich/product/12259
Grilled Buffalo Chicken Sandwich,₹149,https://www.freshmenu.com/continental_grilled_pesto_chicken_sandwich/product/13287
Jerk Cottage Cheese Sandwich,₹149,https://www.freshmenu.com/continental_cheesy_corn_mushroom_sandwich/product/13285
American Creamy Corn Sandwich,₹99,https://www.freshmenu.com/continental_grilled_buffalo_chicken_sandwich/product/13289
Classic Chicken with Cheese Sandwich,₹119,https://www.freshmenu.com/continental_jerk_cottage_cheese_sandwich/product/13284
Mexican Pulled Chicken Whole Wheat Sandwich,₹129,https://www.freshmenu.com/continental_american_creamy_corn_sandwich/product/12929
Citrus Chicken Whole Wheat Sandwich,₹129,https://www.freshmenu.com/continental_classic_chicken_with_cheese_sandwich/product/12255
Smokey Chicken and Cheese Sandwich,₹129,https://www.freshmenu.com/continental_mexican_pulled_chicken_whole_wheat_sandwich/product/12147
Homestyle Chicken Whole Wheat Sandwich,₹99,https://www.freshmenu.com/continental_citrus_chicken_whole_wheat_sandwich/product/12149
Farmhouse Toastizza,₹129,https://www.freshmenu.com/continental_smokey_chicken_and_cheese_sandwich/product/13288
Paneer Tikka Toastizza,₹109,https://www.freshmenu.com/continental_homestyle_chicken_whole_wheat_sandwich/product/12144
FarmHouse Garlic Bread,₹109,https://www.freshmenu.com/italian_farmhouse_toastizza/product/14858
Classic Garlic Bread,₹119,https://www.freshmenu.com/italian_paneer_tikka_toastizza/product/14857
Margherita Garlic Bread,₹119,https://www.freshmenu.com/continental_farmhouse_garlic_bread/product/14402
Smoked Chicken Garlic Bread,₹119,https://www.freshmenu.com/continental_classic_garlic_bread/product/14401
